,repository_name,language
0,.github,
1,aegisthus,Java
2,af_tsa,C
3,aminator,Python
4,archaius,Java
5,asgard,Groovy
6,astyanax,Java
7,atlas,Scala
8,atlas-docs,Python
9,aws-autoscaling,Shell
10,awsobjectmapper,Groovy
11,batch_request_api,Ruby
12,batch_request_client,Ruby
13,bbparse,C
14,bettertls,Go
15,blesk,JavaScript
16,bless,Python
17,blitz4j,Java
18,brutal,Python
19,cachemover,C++
20,CassJMeter,Java
21,chaosmonkey,Go
22,Cloud-Prize,
23,codec_compare,Python
24,concurrency-limits,Java
25,conductor,Java
26,conductor-community,Java
27,conductor-docs,Python
28,conductor-ui,JavaScript
29,consoleme,Python
30,curator,Java
31,denominator,Java
32,derand,Java
33,dgs,HTML
34,dgs-codegen,Kotlin
35,dgs-examples-java,Java
36,dgs-examples-java-2.7,Java
37,dgs-examples-java.latest,Java
38,dgs-examples-java16,Java
39,dgs-examples-kotlin,Kotlin
40,dgs-examples-kotlin-2.7,Kotlin
41,dgs-examples-webflux,Java
42,dgs-federation-example,Kotlin
43,dgs-framework,Kotlin
44,dgs-intellij-plugin,Kotlin
45,dial-reference,C
46,dispatch,Python
47,dispatch-docker,Shell
48,dyno,Java
49,dyno-queues,Java
50,dynomite,C
51,dynomite-manager,Java
52,eclipse-jifa,Java
53,eclipse-mat,
54,edda,Scala
55,edda-client,Java
56,element-server,JavaScript
57,ember-batch-request,JavaScript
58,ember-nf-graph,JavaScript
59,ember-nf-graph-examples,JavaScript
60,eslint-config-netflix,JavaScript
61,eslint-config-netflix-dea,JavaScript
62,eureka,Java
63,eureka-ui,JavaScript
64,EVCache,Java
65,fabricator,Java
66,falcor,JavaScript
67,falcor-datasource-chainer,JavaScript
68,falcor-express,JavaScript
69,falcor-express-demo,HTML
70,falcor-hapi,JavaScript
71,falcor-hapi-demo,HTML
72,falcor-http-datasource,JavaScript
73,falcor-json-graph,JavaScript
74,falcor-observable,JavaScript
75,falcor-path-syntax,JavaScript
76,falcor-path-utils,JavaScript
77,falcor-restify,JavaScript
78,falcor-restify-demo,HTML
79,falcor-router,JavaScript
80,falcor-router-demo,JavaScript
81,fast_jsonapi,Ruby
82,Fenzo,Java
83,Fido,C#
84,flamescope,Python
85,frigga,Java
86,genie,Java
87,glisten,Groovy
88,go-env,Go
89,go-expect,Go
90,go-iomux,Go
91,governator,Java
92,gradle-template,Java
93,hal-9001,Go
94,hollow,Java
95,hollow-reference-implementation,Java
96,hubcommander,Python
97,Hystrix,Java
98,iceberg,Java
99,iep,Java
100,iep-shadow,
101,image_compression_comparison,Python
102,inviso,JavaScript
103,karyon,Java
104,lemur,Python
105,lemur-docker,Python
106,Lipstick,JavaScript
107,mantis,Java
108,mantis-api,Java
109,mantis-cli,JavaScript
110,mantis-connectors,Java
111,mantis-control-plane,Java
112,mantis-examples,Java
113,mantis-gradle-plugin,Groovy
114,mantis-mql,Clojure
115,mantis-rxcontrol,Java
116,mantis-rxnetty,
117,mantis-source-jobs,Java
118,mantis-ui,TypeScript
119,matchcut,Jupyter Notebook
120,metacat,Java
121,metaflow,Python
122,metaflow-docs,JavaScript
123,metaflow-extensions-template,Python
124,metaflow-nflx-extensions,Python
125,metaflow-service,Python
126,metaflow-tools,HCL
127,metaflow-ui,TypeScript
128,metrics-client-go,Go
129,msl,C++
130,ndbench,HTML
131,nerror,JavaScript
132,netflix-commons,Java
133,netflix-graph,Java
134,netflix.github.com,HTML
135,netflixoss-npm-build-infrastructure,
136,nf-data-explorer,TypeScript
137,nflx-geofeed,
138,nflxprofile,Python
139,NfWebCrypto,C++
140,Nicobar,Java
141,ocelli,Java
142,osstracker,Scala
143,p2plab,Go
144,photon,Java
145,PigPen,Clojure
146,pollyjs,JavaScript
147,polynote,HTML
148,Prana,Java
149,Priam,Java
150,probnik,TypeScript
151,pygenie,Python
152,pytheas,JavaScript
153,q,Java
154,Raigad,Java
155,ReactiveLab,Java
156,reactivesocket-examples,Java
157,read_bbrlog,C
158,recipes-rss,Java
159,rend,Go
160,rend-http,Go
161,rend-lmdb,Go
162,repokid,Python
163,restful-jsonapi,Ruby
164,ribbon,Java
165,runtime-health,Java
166,rx-aws-java-sdk,Java
167,s3mper,Java
168,security-bulletins,
169,security_monkey,Python
170,servo,Java
171,sherlock,R
172,signal-wrapper,Go
173,SimianArmy,Java
174,sleepy-puppy-docker,Dockerfile
175,spark,Scala
176,spectator,Java
177,spectator-cpp,C++
178,spectator-go,Go
179,spectator-js,JavaScript
180,spectator-py,Python
181,spectator-rb,Ruby
182,staash,Java
183,sureal,Python
184,suro,Java
185,Surus,Java
186,taskintrospection,C
187,tcplog_dumper,C
188,techreports,
189,titus,
190,titus-api-definitions,Makefile
191,titus-control-plane,Java
192,titus-controllers-api,Go
193,titus-executor,Go
194,titus-kube-common,Go
195,titus-resource-pool,Go
196,tslint-config-netflix,JavaScript
197,Turbine,Java
198,unleash,JavaScript
199,user2020-metaflow-tutorial,R
200,vector,JavaScript
201,vectorflow,D
202,vizceral,JavaScript
203,vizceral-component,JavaScript
204,vizceral-example,JavaScript
205,vizceral-react,JavaScript
206,vmaf,Python
207,vmaf_resource,
208,vp9-dash,
209,webpack-parse-query,JavaScript
210,weep,Go
211,Workflowable,Ruby
212,x-element,JavaScript
213,x-test,JavaScript
214,yetch,JavaScript
215,zeno,Java
216,zuul,Java
